"","party","sex","evote","zip","age","citizenship","education"
"1","Red","Female","0","2300",4,"Denmark","Vocational bachelors educations"
"2","Red","Female","0","2200",4,"Denmark","Vocational Education and Training (VET)"
"3","Green","Female","1","2100",2,"Denmark","Vocational Education and Training (VET)"
"4","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"5","Green","Male","0","2200",1,"Denmark","Masters programmes"
"6","Red","Male","0","2300",2,"Denmark","Vocational bachelors educations"
"7","Red","Female","0","2300",3,"Denmark","Masters programmes"
"8","Red","Female","0","2200",3,"Denmark","Masters programmes"
"9","Red","Male","1","2300",3,"Denmark","Vocational Education and Training (VET)"
"10","Red","Female","0","2200",4,"Denmark","Vocational bachelors educations"
"11","Red","Male","0","2400",3,"Denmark","Masters programmes"
"12","Green","Male","1","2400",3,"Denmark","Vocational Education and Training (VET)"
"13","Green","Male","0","2300",2,"Denmark","Vocational Education and Training (VET)"
"14","Red","Female","0","2400",4,"Denmark","Vocational bachelors educations"
"15","Red","Female","0","2400",4,"Denmark","Vocational Education and Training (VET)"
"16","Red","Female","1","2300",2,"Denmark","Primary education"
"17","Green","Female","0","2300",3,"Denmark","Primary education"
"18","Green","Male","1","2200",1,"Denmark","Vocational Education and Training (VET)"
"19","Invalid vote","Female","0","2400",2,"Denmark","Vocational Education and Training (VET)"
"20","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"21","Red","Female","0","2200",3,"Denmark","PhD programmes"
"22","Green","Male","1","2100",2,"Denmark","Masters programmes"
"23","Green","Female","0","2400",2,"Denmark","Not stated"
"24","Red","Female","0","2100",2,"Denmark","Masters programmes"
"25","Green","Female","1","2100",3,"Denmark","Vocational Education and Training (VET)"
"26","Green","Female","0","2100",1,"Denmark","Upper secondary education"
"27","Invalid vote","Female","0","2400",NA,"Denmark","Vocational Education and Training (VET)"
"28","Green","Male","0","2200",4,"Denmark","Primary education"
"29","Green","Female","0","2300",2,"Denmark","Vocational Education and Training (VET)"
"30","Green","Male","0","2400",3,"Other","Vocational Education and Training (VET)"
"31","Red","Male","0","2300",NA,"Other","Masters programmes"
"32","Red","Female","0","2200",3,"Denmark","Vocational bachelors educations"
"33","Green","Male","0","2400",2,"Denmark","Upper secondary education"
"34","Red","Female","0","2400",2,"Denmark","Primary education"
"35","Green","Female","1","2300",2,"Denmark","Vocational Education and Training (VET)"
"36","Green","Male","1","2100",1,"Denmark","Upper secondary education"
"37","Green","Female","1","2100",3,"Denmark","Vocational Education and Training (VET)"
"38","Green","Male","0","2100",4,"Denmark","Primary education"
"39","Green","Female","1","2200",2,"Denmark","Primary education"
"40","Green","Male","1","2300",2,"Denmark","Masters programmes"
"41","Green","Male","1","2100",2,"Denmark","Primary education"
"42","Red","Male","0","2300",4,"Denmark","Vocational Education and Training (VET)"
"43","Green","Male","0","2300",3,"Denmark","Upper secondary education"
"44","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"45","Green","Male","1","2100",1,"Denmark","Primary education"
"46","Green","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"47","Green","Male","0","2400",4,"Denmark","Primary education"
"48","Red","Female","0","2300",3,"Denmark","PhD programmes"
"49","Red","Female","0","2300",3,"Denmark","Masters programmes"
"50","Green","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"51","Red","Female","0","2400",3,"Denmark","Vocational bachelors educations"
"52","Red","Female","0","2400",2,"Denmark","Vocational Education and Training (VET)"
"53","Red","Male","0","2300",3,"Denmark","Short cycle higher education"
"54","Green","Female","0","2200",3,"Denmark","Primary education"
"55","Green","Male","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"56","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"57","Green","Female","0","2200",1,"Denmark","Primary education"
"58","Green","Male","0","2200",4,"Denmark","Vocational Education and Training (VET)"
"59","Green","Male","0","2200",4,"Denmark","Vocational Education and Training (VET)"
"60","Red","Female","0","2300",3,"Denmark","Primary education"
"61","Green","Male","0","2200",1,"Denmark","Upper secondary education"
"62","Red","Female","1","2300",NA,"Denmark","Vocational Education and Training (VET)"
"63","Green","Male","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"64","Green","Male","0","2300",2,"Denmark","Masters programmes"
"65","Green","Female","0","2200",2,"Denmark","Primary education"
"66","Green","Male","1","2200",2,"Denmark","Vocational Education and Training (VET)"
"67","Green","Male","1","2300",3,"Denmark","Primary education"
"68","Green","Female","1","2400",3,"Denmark","Vocational Education and Training (VET)"
"69","Red","Female","0","2300",3,"Denmark","Vocational bachelors educations"
"70","Red","Female","0","2100",NA,"Denmark","Masters programmes"
"71","Green","Male","0","2100",NA,"Other","Primary education"
"72","Green","Male","1","2100",2,"Denmark","Primary education"
"73","Red","Female","0","2400",4,"Denmark","Primary education"
"74","Green","Male","0","2400",3,"Other","Vocational Education and Training (VET)"
"75","Green","Female","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"76","Red","Female","0","2400",2,"Denmark","Vocational bachelors educations"
"77","Green","Female","0","2400",4,"Denmark","Vocational Education and Training (VET)"
"78","Green","Male","1","2300",NA,"Denmark","Vocational bachelors educations"
"79","Green","Female","0","2100",2,"Denmark","Vocational Education and Training (VET)"
"80","Green","Male","0","2200",3,"Denmark","Primary education"
"81","Green","Female","1","2300",2,"Denmark","Vocational Education and Training (VET)"
"82","Green","Female","0",NA,4,"Other","Primary education"
"83","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"84","Green","Male","1","2100",2,"Denmark","Masters programmes"
"85","Green","Male","1","2300",2,"Denmark","Vocational Education and Training (VET)"
"86","Green","Male","0","2300",NA,"Other","Masters programmes"
"87","Green","Female","1","2200",NA,"Denmark","Primary education"
"88","Green","Male","0","2200",2,"Denmark","Primary education"
"89","Green","Female","1","2200",1,"Denmark","Vocational Education and Training (VET)"
"90","Red","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"91","Green","Male","0","2300",3,"Denmark","Short cycle higher education"
"92","Red","Male","0","2200",1,"Denmark","Masters programmes"
"93","Green","Male","0","2400",2,"Denmark","Masters programmes"
"94","Green","Female","1","2200",2,"Denmark","Masters programmes"
"95","Red","Female","1","2400",2,"Denmark","Vocational bachelors educations"
"96","Red","Female","0","2300",3,"Denmark","Vocational bachelors educations"
